sourcefiles/themes/absb/js/admin.js: line 448, col 9, Misleading line break before '||'; readers may interpret this as an expression boundary.

sourcefiles/themes/absb/js/vti-bootstrap-date-timepicker.js: line 50, col 6, Missing semicolon.
sourcefiles/themes/absb/js/vti-bootstrap-date-timepicker.js: line 60, col 16, 'i' is already defined.
sourcefiles/themes/absb/js/vti-bootstrap-date-timepicker.js: line 60, col 23, 'len' is already defined.
sourcefiles/themes/absb/js/vti-bootstrap-date-timepicker.js: line 117, col 6, Missing semicolon.
sourcefiles/themes/absb/js/vti-bootstrap-date-timepicker.js: line 127, col 6, Missing semicolon.
sourcefiles/themes/absb/js/vti-bootstrap-date-timepicker.js: line 307, col 6, Missing semicolon.
sourcefiles/themes/absb/js/vti-bootstrap-date-timepicker.js: line 315, col 6, Missing semicolon.
sourcefiles/themes/absb/js/vti-bootstrap-date-timepicker.js: line 462, col 30, Missing semicolon.
sourcefiles/themes/absb/js/vti-bootstrap-date-timepicker.js: line 672, col 32, Missing semicolon.
sourcefiles/themes/absb/js/vti-bootstrap-date-timepicker.js: line 726, col 93, Missing semicolon.
sourcefiles/themes/absb/js/vti-bootstrap-date-timepicker.js: line 736, col 50, ['en'] is better written in dot notation.
sourcefiles/themes/absb/js/vti-bootstrap-date-timepicker.js: line 739, col 50, ['en'] is better written in dot notation.
sourcefiles/themes/absb/js/vti-bootstrap-date-timepicker.js: line 788, col 34, Missing semicolon.
sourcefiles/themes/absb/js/vti-bootstrap-date-timepicker.js: line 834, col 16, 'i' is already defined.
sourcefiles/themes/absb/js/vti-bootstrap-date-timepicker.js: line 886, col 16, 'i' is already defined.
sourcefiles/themes/absb/js/vti-bootstrap-date-timepicker.js: line 908, col 13, Misleading line break before '&&'; readers may interpret this as an expression boundary.
sourcefiles/themes/absb/js/vti-bootstrap-date-timepicker.js: line 909, col 13, Misleading line break before '&&'; readers may interpret this as an expression boundary.
sourcefiles/themes/absb/js/vti-bootstrap-date-timepicker.js: line 910, col 13, Misleading line break before '&&'; readers may interpret this as an expression boundary.
sourcefiles/themes/absb/js/vti-bootstrap-date-timepicker.js: line 916, col 13, Misleading line break before '&&'; readers may interpret this as an expression boundary.
sourcefiles/themes/absb/js/vti-bootstrap-date-timepicker.js: line 917, col 13, Misleading line break before '&&'; readers may interpret this as an expression boundary.
sourcefiles/themes/absb/js/vti-bootstrap-date-timepicker.js: line 918, col 13, Misleading line break before '&&'; readers may interpret this as an expression boundary.
sourcefiles/themes/absb/js/vti-bootstrap-date-timepicker.js: line 926, col 13, Misleading line break before '&&'; readers may interpret this as an expression boundary.
sourcefiles/themes/absb/js/vti-bootstrap-date-timepicker.js: line 927, col 13, Misleading line break before '&&'; readers may interpret this as an expression boundary.
sourcefiles/themes/absb/js/vti-bootstrap-date-timepicker.js: line 933, col 13, Misleading line break before '&&'; readers may interpret this as an expression boundary.
sourcefiles/themes/absb/js/vti-bootstrap-date-timepicker.js: line 934, col 13, Misleading line break before '&&'; readers may interpret this as an expression boundary.
